CA,AA,CB,AB,DOM,INT,PRED,ZA,ZB,TA,TB,AT
ANT,El Depredador,ANT+PNT,La Bestia,A,=,@EQUIL El Depredador y La Bestia.,@ZK_B,"@ZK_B, @ZK_A",El Depredador @ZB_ACT,La Bestia @ZB_ACT y La Bestia @ZR_DEF,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,ANT+PT,El Castigador,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_B, @ZK_C",El Depredador @ZB_ACT,El Castigador @ZB_ACT y El Castigador @ZC_PREC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,PNT+ANT,El Feral,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_B",El Depredador @ZB_ACT,El Feral @ZR_DEF y El Feral @ZB_ACT,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,PT+ANT,El Demoledor Silencioso,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_B",El Depredador @ZB_ACT,El Demoledor Silencioso @ZC_PREC y El Demoledor Silencioso @ZB_ACT,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,PNT+PT,El Ancla,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_C",El Depredador @ZB_ACT,El Ancla @ZR_DEF y El Ancla @ZC_PREC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,PT+PNT,La Muralla,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_A",El Depredador @ZB_ACT,La Muralla @ZC_PREC y La Muralla @ZR_DEF,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
ANT,El Depredador,ANT+AT+PNT,El Coloso del Centro,A,=,@EQUIL El Depredador y El Coloso del Centro.,@ZK_B,"@ZK_B, @ZK_D, @ZK_A",El Depredador @ZB_ACT,El Coloso del Centro @ZB_ACT y El Coloso del Centro @ZD_TEC y El Coloso del Centro @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,ANT+AT+PT,El Estratega Salvaje,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_B, @ZK_D, @ZK_C",El Depredador @ZB_ACT,El Estratega Salvaje @ZB_ACT y El Estratega Salvaje @ZD_TEC y El Estratega Salvaje @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,ANT+PNT+AT,,A,=,@EQUIL El Depredador y nan.,@ZK_B,"@ZK_B, @ZK_A, @ZK_D",El Depredador @ZB_ACT,nan @ZB_ACT y nan @ZR_DEF y nan @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,ANT+PT+AT,El Incursor,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_B, @ZK_C, @ZK_D",El Depredador @ZB_ACT,El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,AT+ANT+PNT,El Inquebrantable,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_B, @ZK_A",El Depredador @ZB_ACT,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,AT+ANT+PT,El Arquitecto del Caos,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_B, @ZK_C",El Depredador @ZB_ACT,El Arquitecto del Caos @ZD_TEC y El Arquitecto del Caos @ZB_ACT y El Arquitecto del Caos @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,AT+PNT+ANT,El León Técnico,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_A, @ZK_B",El Depredador @ZB_ACT,El León Técnico @ZD_TEC y El León Técnico @ZR_DEF y El León Técnico @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,AT+PNT+PT,El Guerrero del Muro,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_A, @ZK_C",El Depredador @ZB_ACT,El Guerrero del Muro @ZD_TEC y El Guerrero del Muro @ZR_DEF y El Guerrero del Muro @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,AT+PT+ANT,El Alquimista del Ritmo,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_C, @ZK_B",El Depredador @ZB_ACT,El Alquimista del Ritmo @ZD_TEC y El Alquimista del Ritmo @ZC_PREC y El Alquimista del Ritmo @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,AT+PT+PNT,El Sabio de Hierro,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_D, @ZK_C, @ZK_A",El Depredador @ZB_ACT,El Sabio de Hierro @ZD_TEC y El Sabio de Hierro @ZC_PREC y El Sabio de Hierro @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PNT+ANT+AT,El Fénix del Caos,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_B, @ZK_D",El Depredador @ZB_ACT,El Fénix del Caos @ZR_DEF y El Fénix del Caos @ZB_ACT y El Fénix del Caos @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PNT+AT+ANT,El Legionario,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_D, @ZK_B",El Depredador @ZB_ACT,El Legionario @ZR_DEF y El Legionario @ZD_TEC y El Legionario @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PNT+AT+PT,El Centinela de Acero,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_D, @ZK_C",El Depredador @ZB_ACT,El Centinela de Acero @ZR_DEF y El Centinela de Acero @ZD_TEC y El Centinela de Acero @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PNT+PT+AT,El Bastión del Ritmo,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_C, @ZK_D",El Depredador @ZB_ACT,El Bastión del Ritmo @ZR_DEF y El Bastión del Ritmo @ZC_PREC y El Bastión del Ritmo @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PT+ANT+AT,El Constructor del Combate,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_B, @ZK_D",El Depredador @ZB_ACT,El Constructor del Combate @ZC_PREC y El Constructor del Combate @ZB_ACT y El Constructor del Combate @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PT+AT+ANT,El Estrangulador Táctico,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_D, @ZK_B",El Depredador @ZB_ACT,El Estrangulador Táctico @ZC_PREC y El Estrangulador Táctico @ZD_TEC y El Estrangulador Táctico @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PT+AT+PNT,El Táctico Blindado,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_D, @ZK_A",El Depredador @ZB_ACT,El Táctico Blindado @ZC_PREC y El Táctico Blindado @ZD_TEC y El Táctico Blindado @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PT+PNT+AT,El Monje de la Jaula,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_A, @ZK_D",El Depredador @ZB_ACT,El Monje de la Jaula @ZC_PREC y El Monje de la Jaula @ZR_DEF y El Monje de la Jaula @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,ANT+PNT+PT,El Ciclón Imparable,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_B, @ZK_A, @ZK_C",El Depredador @ZB_ACT,El Ciclón Imparable @ZB_ACT y El Ciclón Imparable @ZR_DEF y El Ciclón Imparable @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,ANT+PT+PNT,El Gladiador Salvaje,A,VL,@VENT_LIG El Depredador.,@ZK_B,"@ZK_B, @ZK_C, @ZK_A",El Depredador @ZB_ACT,El Gladiador Salvaje @ZB_ACT y El Gladiador Salvaje @ZC_PREC y El Gladiador Salvaje @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PNT+ANT+PT,El Martillo de Hierro,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_B, @ZK_C",El Depredador @ZB_ACT,El Martillo de Hierro @ZR_DEF y El Martillo de Hierro @ZB_ACT y El Martillo de Hierro @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PNT+PT+ANT,El Coloso Salvaje,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_A, @ZK_C, @ZK_B",El Depredador @ZB_ACT,El Coloso Salvaje @ZR_DEF y El Coloso Salvaje @ZC_PREC y El Coloso Salvaje @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PT+ANT+PNT,El Bárbaro del Octágono,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_B, @ZK_A",El Depredador @ZB_ACT,El Bárbaro del Octágono @ZC_PREC y El Bárbaro del Octágono @ZB_ACT y El Bárbaro del Octágono @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
ANT,El Depredador,PT+PNT+ANT,El Titán Silencioso,A,VA,@VENT_LIG El Depredador.,@ZK_B,"@ZK_C, @ZK_A, @ZK_B",El Depredador @ZB_ACT,El Titán Silencioso @ZC_PREC y El Titán Silencioso @ZR_DEF y El Titán Silencioso @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,ANT,El Depredador,B,VL,@VENT_LIG El Depredador.,@ZK_D,@ZK_B,El Estratega @ZD_TEC,El Depredador @ZB_ACT,
AT,El Estratega,AT,El Estratega,=,=,@EQUIL El Estratega y El Estratega.,@ZK_D,@ZK_D,El Estratega @ZD_TEC,El Estratega @ZD_TEC,
AT,El Estratega,PNT,El Escudo,B,VA,@VENT_LIG El Escudo.,@ZK_D,@ZK_A,El Estratega @ZD_TEC,El Escudo @ZR_DEF,
AT,El Estratega,PT,El Francotirador,A,VA,@VENT_LIG El Estratega.,@ZK_D,@ZK_C,El Estratega @ZD_TEC,El Francotirador @ZC_PREC,
AT,El Estratega,ANT+AT,El Vendaval,B,=,@EQUIL El Estratega y El Vendaval.,@ZK_D,"@ZK_B, @ZK_D",El Estratega @ZD_TEC,El Vendaval @ZB_ACT y El Vendaval @ZD_TEC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,AT+ANT,El Huracán,B,=,@EQUIL El Estratega y El Huracán.,@ZK_D,"@ZK_D, @ZK_B",El Estratega @ZD_TEC,El Huracán @ZD_TEC y El Huracán @ZB_ACT,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,AT+PNT,El Guardián,B,VL,@VENT_LIG El Guardián.,@ZK_D,"@ZK_D, @ZK_A",El Estratega @ZD_TEC,El Guardián @ZD_TEC y El Guardián @ZR_DEF,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,AT+PT,El Cirujano,A,=,@EQUIL El Estratega y El Cirujano.,@ZK_D,"@ZK_D, @ZK_C",El Estratega @ZD_TEC,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,PNT+AT,El Bastión Técnico,B,VA,@VENT_LIG El Bastión Técnico.,@ZK_D,"@ZK_A, @ZK_D",El Estratega @ZD_TEC,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,PT+AT,El Maestro del Pulso,A,VL,@VENT_LIG El Estratega.,@ZK_D,"@ZK_C, @ZK_D",El Estratega @ZD_TEC,El Maestro del Pulso @ZC_PREC y El Maestro del Pulso @ZD_TEC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,ANT+PNT,La Bestia,B,VA,@VENT_LIG La Bestia.,@ZK_D,"@ZK_B, @ZK_A",El Estratega @ZD_TEC,La Bestia @ZB_ACT y La Bestia @ZR_DEF,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,ANT+PT,El Castigador,A,=,@EQUIL El Estratega y El Castigador.,@ZK_D,"@ZK_B, @ZK_C",El Estratega @ZD_TEC,El Castigador @ZB_ACT y El Castigador @ZC_PREC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,PNT+ANT,El Feral,B,VA,@VENT_LIG El Feral.,@ZK_D,"@ZK_A, @ZK_B",El Estratega @ZD_TEC,El Feral @ZR_DEF y El Feral @ZB_ACT,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,PT+ANT,El Demoledor Silencioso,A,=,@EQUIL El Estratega y El Demoledor Silencioso.,@ZK_D,"@ZK_C, @ZK_B",El Estratega @ZD_TEC,El Demoledor Silencioso @ZC_PREC y El Demoledor Silencioso @ZB_ACT,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,PNT+PT,El Ancla,B,VL,@VENT_LIG El Ancla.,@ZK_D,"@ZK_A, @ZK_C",El Estratega @ZD_TEC,El Ancla @ZR_DEF y El Ancla @ZC_PREC,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,PT+PNT,La Muralla,B,=,@EQUIL El Estratega y La Muralla.,@ZK_D,"@ZK_C, @ZK_A",El Estratega @ZD_TEC,La Muralla @ZC_PREC y La Muralla @ZR_DEF,Enfrentamiento entre arquetipo simple y dual. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT,El Estratega,ANT+AT+PNT,El Coloso del Centro,B,VL,@VENT_LIG El Coloso del Centro.,@ZK_D,"@ZK_B, @ZK_D, @ZK_A",El Estratega @ZD_TEC,El Coloso del Centro @ZB_ACT y El Coloso del Centro @ZD_TEC y El Coloso del Centro @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,ANT+AT+PT,El Estratega Salvaje,B,=,@EQUIL El Estratega y El Estratega Salvaje.,@ZK_D,"@ZK_B, @ZK_D, @ZK_C",El Estratega @ZD_TEC,El Estratega Salvaje @ZB_ACT y El Estratega Salvaje @ZD_TEC y El Estratega Salvaje @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,ANT+PNT+AT,,B,VL,@VENT_LIG nan.,@ZK_D,"@ZK_B, @ZK_A, @ZK_D",El Estratega @ZD_TEC,nan @ZB_ACT y nan @ZR_DEF y nan @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,ANT+PT+AT,El Incursor,A,=,@EQUIL El Estratega y El Incursor.,@ZK_D,"@ZK_B, @ZK_C, @ZK_D",El Estratega @ZD_TEC,El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,AT+ANT+PNT,El Inquebrantable,B,VL,@VENT_LIG El Inquebrantable.,@ZK_D,"@ZK_D, @ZK_B, @ZK_A",El Estratega @ZD_TEC,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,AT+ANT+PT,El Arquitecto del Caos,A,=,@EQUIL El Estratega y El Arquitecto del Caos.,@ZK_D,"@ZK_D, @ZK_B, @ZK_C",El Estratega @ZD_TEC,El Arquitecto del Caos @ZD_TEC y El Arquitecto del Caos @ZB_ACT y El Arquitecto del Caos @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,AT+PNT+ANT,El León Técnico,B,VL,@VENT_LIG El León Técnico.,@ZK_D,"@ZK_D, @ZK_A, @ZK_B",El Estratega @ZD_TEC,El León Técnico @ZD_TEC y El León Técnico @ZR_DEF y El León Técnico @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,AT+PNT+PT,El Guerrero del Muro,B,=,@EQUIL El Estratega y El Guerrero del Muro.,@ZK_D,"@ZK_D, @ZK_A, @ZK_C",El Estratega @ZD_TEC,El Guerrero del Muro @ZD_TEC y El Guerrero del Muro @ZR_DEF y El Guerrero del Muro @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,AT+PT+ANT,El Alquimista del Ritmo,A,=,@EQUIL El Estratega y El Alquimista del Ritmo.,@ZK_D,"@ZK_D, @ZK_C, @ZK_B",El Estratega @ZD_TEC,El Alquimista del Ritmo @ZD_TEC y El Alquimista del Ritmo @ZC_PREC y El Alquimista del Ritmo @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,AT+PT+PNT,El Sabio de Hierro,B,=,@EQUIL El Estratega y El Sabio de Hierro.,@ZK_D,"@ZK_D, @ZK_C, @ZK_A",El Estratega @ZD_TEC,El Sabio de Hierro @ZD_TEC y El Sabio de Hierro @ZC_PREC y El Sabio de Hierro @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PNT+ANT+AT,El Fénix del Caos,B,VA,@VENT_LIG El Fénix del Caos.,@ZK_D,"@ZK_A, @ZK_B, @ZK_D",El Estratega @ZD_TEC,El Fénix del Caos @ZR_DEF y El Fénix del Caos @ZB_ACT y El Fénix del Caos @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PNT+AT+ANT,El Legionario,B,VA,@VENT_LIG El Legionario.,@ZK_D,"@ZK_A, @ZK_D, @ZK_B",El Estratega @ZD_TEC,El Legionario @ZR_DEF y El Legionario @ZD_TEC y El Legionario @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PNT+AT+PT,El Centinela de Acero,B,VL,@VENT_LIG El Centinela de Acero.,@ZK_D,"@ZK_A, @ZK_D, @ZK_C",El Estratega @ZD_TEC,El Centinela de Acero @ZR_DEF y El Centinela de Acero @ZD_TEC y El Centinela de Acero @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PNT+PT+AT,El Bastión del Ritmo,B,VL,@VENT_LIG El Bastión del Ritmo.,@ZK_D,"@ZK_A, @ZK_C, @ZK_D",El Estratega @ZD_TEC,El Bastión del Ritmo @ZR_DEF y El Bastión del Ritmo @ZC_PREC y El Bastión del Ritmo @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PT+ANT+AT,El Constructor del Combate,A,=,@EQUIL El Estratega y El Constructor del Combate.,@ZK_D,"@ZK_C, @ZK_B, @ZK_D",El Estratega @ZD_TEC,El Constructor del Combate @ZC_PREC y El Constructor del Combate @ZB_ACT y El Constructor del Combate @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PT+AT+ANT,El Estrangulador Táctico,A,=,@EQUIL El Estratega y El Estrangulador Táctico.,@ZK_D,"@ZK_C, @ZK_D, @ZK_B",El Estratega @ZD_TEC,El Estrangulador Táctico @ZC_PREC y El Estrangulador Táctico @ZD_TEC y El Estrangulador Táctico @ZB_ACT,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PT+AT+PNT,El Táctico Blindado,A,=,@EQUIL El Estratega y El Táctico Blindado.,@ZK_D,"@ZK_C, @ZK_D, @ZK_A",El Estratega @ZD_TEC,El Táctico Blindado @ZC_PREC y El Táctico Blindado @ZD_TEC y El Táctico Blindado @ZR_DEF,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,PT+PNT+AT,El Monje de la Jaula,B,=,@EQUIL El Estratega y El Monje de la Jaula.,@ZK_D,"@ZK_C, @ZK_A, @ZK_D",El Estratega @ZD_TEC,El Monje de la Jaula @ZC_PREC y El Monje de la Jaula @ZR_DEF y El Monje de la Jaula @ZD_TEC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT,El Estratega,ANT+PNT+PT,El Ciclón Imparable,B,VL,@VENT_LIG El Ciclón Imparable.,@ZK_D,"@ZK_B, @ZK_A, @ZK_C",El Estratega @ZD_TEC,El Ciclón Imparable @ZB_ACT y El Ciclón Imparable @ZR_DEF y El Ciclón Imparable @ZC_PREC,Enfrentamiento entre arquetipo simple y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
