Fighter,Division,division_ranking,Birth_Date,Career_Record,Sig_Strikes_Thrown,Sig_Strikes_Landed,Sig_Strikes_Absorbed,Takedowns_Attempted,Takedowns_Successful,Takedowns_Defended,Sub_Attempts,Sub_Attempts_Defended,Knockdowns,Knockdowns_Received,Control_Time_Seconds,Time_Controlled_Seconds,height_inches,reach_inches,win,loss,draws,win_kotko,win_sub,win_decision,loss_kotko,loss_sub,loss_decision,Fight_Duration_Seconds,significant_strikes_attempted_against,takedowns_attempted_against,takedowns_allowed,submission_attempts_against,Number_of_Fights_36m,Dates_36m,picture_url,ufcstats_url
Waldo Cortes Acosta (Salsa Boy),Heavyweight,5,03-10-1991,17-2-0,995,485,319,7,4,14,1,0,6,0,814,503,76,78,8,2,0,5,0,3,0,0,2,608,709,19,5,0,10,"24-01-2026:d3df1add9d9a7efb:W,22-11-2025:6747ccd6d1acd266:W,01-11-2025:7d8435c56043b0ae:W,23-08-2025:f14cf73e51b29254:L,07-06-2025:e2f6b2769aaedd6c:W,15-03-2025:a67f5afa8d6a1b80:W,11-05-2024:140567899d98978a:W,13-01-2024:3738e68d2261e60f:W,26-08-2023:0c25d0a5e8cdbf19:W,29-04-2023:ab943cd2c3c17825:L",img/waldo_cortes-acosta.png,http://ufcstats.com/fighter-details/fc08099550072fe4
Serghei Spivac (Polar Bear),Heavyweight,6,24-01-1995,18-6-0,345,144,303,13,5,0,1,0,0,0,489,172,75,78,2,3,0,0,1,1,2,0,1,544,598,1,1,0,5,"21-02-2026:7d8435c56043b0ae:W,07-06-2025:fc08099550072fe4:L,18-01-2025:41e83a89929d1327:L,10-08-2024:c9cf753cfdf77fc2:W,02-09-2023:787bb1f087ccff8a:L",img/serghei_spivac.png,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c
Derrick Lewis (The Black Beast),Heavyweight,9,07-02-1985,29-13-0 (1 NC),207,95,113,6,1,9,0,4,3,1,301,1584,75,79,3,2,0,3,0,0,1,0,1,542,165,17,8,4,5,"24-01-2026:fc08099550072fe4:L,12-07-2025:17923f676f100e16:W,11-05-2024:d31a5546c0e9b213:W,04-11-2023:41e83a89929d1327:L,29-07-2023:ab943cd2c3c17825:W",img/derrick_lewis.png,http://ufcstats.com/fighter-details/d3df1add9d9a7efb
Tai Tuivasa (Bam Bam),Heavyweight,15,16-03-1993,15-9-0,275,122,262,0,0,10,0,0,0,1,239,744,74,75,0,4,0,0,0,0,0,2,2,656,442,14,4,2,4,"31-01-2026:17923f676f100e16:L,17-08-2024:2cd428e9606856fd:L,16-03-2024:c9cf753cfdf77fc2:L,09-09-2023:279566840aa55bf2:L",img/tai_tuivasa.png,http://ufcstats.com/fighter-details/c62fbc117d57b943
Shamil Gaziev,Heavyweight,13,10-02-1990,14-2-0,259,122,191,10,3,5,0,0,1,2,1129,37,76,78,3,2,0,2,0,1,2,0,0,546,348,6,1,0,5,"22-11-2025:fc08099550072fe4:L,01-02-2025:764d39074a352e33:W,03-08-2024:1a9480fc288e55d7:W,02-03-2024:2cd428e9606856fd:L,16-12-2023:8eb046f83e82bf26:W",img/shamil_gaziev.png,http://ufcstats.com/fighter-details/6747ccd6d1acd266
Mick Parkin,Heavyweight,12,02-10-1995,10-1-0,601,300,254,11,4,3,0,0,1,0,608,158,76,79,4,1,0,1,0,3,0,0,1,760,631,4,1,0,5,"22-03-2025:c9cf753cfdf77fc2:L,27-07-2024:0c25d0a5e8cdbf19:W,23-03-2024:da7f113b5ea39c43:W,18-11-2023:89839250eb25c9c1:W,22-07-2023:f41b9f5efc7162d6:W",img/mick_parkin.png,http://ufcstats.com/fighter-details/0d5cc0170c1a7e71
Magomed Ankalaev,Light_Heavyweight,1,02-06-1992,21-2-1 (1 NC),380,205,195,14,1,2,0,0,1,0,504,77,75,75,3,1,0,1,0,2,1,0,0,627,397,2,0,0,5,"04-10-2025:e5549c82bfb5582d:L,08-03-2025:e5549c82bfb5582d:W,26-10-2024:333b9e5c723ac873:W,13-01-2024:c21f26bbde777573:W,21-10-2023:c21f26bbde777573:NC",img/magomed_ankalaev.png,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Alex Pereira (Poatan),Heavyweight,,07-07-1987,13-3-0,709,450,301,1,0,20,2,2,5,1,43,1033,76,79,6,2,0,5,0,1,1,0,1,658,657,24,4,2,8,"04-10-2025:d802174b0c0c1f4e:W,08-03-2025:d802174b0c0c1f4e:L,05-10-2024:749f572d1d3161fb:W,29-06-2024:009341ed974bad72:W,13-04-2024:5444c5a201d3ee5a:W,11-11-2023:009341ed974bad72:W,29-07-2023:99df7d0a2a08a8a8:W,08-04-2023:1338e2c7480bdf9e:L",img/alex_pereira.png,http://ufcstats.com/fighter-details/e5549c82bfb5582d
Jamahal Hill (Sweet Dreams),Light_Heavyweight,7,19-05-1991,12-4-0 (1 NC),371,162,223,0,0,0,0,0,0,4,0,29,76,79,0,3,0,0,0,0,2,0,1,825,376,0,0,0,3,"21-06-2025:749f572d1d3161fb:L,18-01-2025:009341ed974bad72:L,13-04-2024:e5549c82bfb5582d:L",img/jamahal_hill.png,http://ufcstats.com/fighter-details/5444c5a201d3ee5a
Jiri Prochazka,Light_Heavyweight,2,14-10-1992,32-5-1,499,274,281,4,2,0,0,1,3,3,308,13,75,80,3,2,0,3,0,0,2,0,0,584,555,0,0,1,5,"04-10-2025:749f572d1d3161fb:W,18-01-2025:5444c5a201d3ee5a:W,29-06-2024:e5549c82bfb5582d:L,13-04-2024:333b9e5c723ac873:W,11-11-2023:e5549c82bfb5582d:L",img/jiri_prochazka.png,http://ufcstats.com/fighter-details/009341ed974bad72
Jan Blachowicz,Light_Heavyweight,5,24-02-1983,29-11-2,361,195,225,9,3,1,3,1,1,1,460,263,74,78,0,2,1,0,0,0,0,0,2,900,389,1,0,1,3,"06-12-2025:ef5dcb10d2bd4b0f:D,22-03-2025:9014c02eff8b3d62:L,29-07-2023:e5549c82bfb5582d:L",img/jan_blachowicz.png,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
Aleksandar Rakic (Rocket),Light_Heavyweight,11,06-02-1992,14-6-0,240,120,127,3,0,0,0,0,0,1,96,131,76,78,0,3,0,0,0,0,2,0,1,529,240,1,1,0,3,"25-10-2025:e90a2f22417af68e:L,26-10-2024:d802174b0c0c1f4e:L,13-04-2024:009341ed974bad72:L",img/aleksandar_rakic.png,http://ufcstats.com/fighter-details/333b9e5c723ac873
Anthony Smith (Lionheart),Light_Heavyweight,,26-07-1988,38-22-0,503,269,498,13,2,4,1,0,0,1,166,715,76,76,2,5,0,0,1,1,3,0,2,615,943,7,3,0,7,"26-04-2025:8a65fd9ba31fd3f7:L,07-12-2024:2e19380f34871c6a:L,29-06-2024:327d5f279895110d:L,04-05-2024:71171fc96445bf65:W,09-12-2023:749f572d1d3161fb:L,26-08-2023:a67f5afa8d6a1b80:W,13-05-2023:c21f26bbde777573:L",img/anthony_smith.png,http://ufcstats.com/fighter-details/d4c9dcd330403612
Carlos Ulberg (Black Jag),Light_Heavyweight,3,07-11-1990,14-1-0,564,285,224,3,1,5,1,0,4,0,122,18,76,77,6,0,0,3,1,2,0,0,0,516,458,6,1,0,6,"27-09-2025:2e19380f34871c6a:W,22-03-2025:99df7d0a2a08a8a8:W,23-11-2024:0845c81e37d3bcb3:W,11-05-2024:a495f599e787614f:W,09-09-2023:74f9448b97bf8bec:W,13-05-2023:260bd4cef10b033f:W",img/carlos_ulberg.png,http://ufcstats.com/fighter-details/9014c02eff8b3d62
Johnny Walker,Light_Heavyweight,12,30-03-1992,22-9-0 (1 NC),390,195,147,3,1,2,0,0,1,3,112,240,78,82,2,2,0,1,0,1,2,0,0,432,283,4,2,0,5,"23-08-2025:8a65fd9ba31fd3f7:W,22-06-2024:0845c81e37d3bcb3:L,13-01-2024:d802174b0c0c1f4e:L,21-10-2023:d802174b0c0c1f4e:NC,13-05-2023:d4c9dcd330403612:W",img/johnny_walker.png,http://ufcstats.com/fighter-details/c21f26bbde777573
Khalil Rountree Jr.,Light_Heavyweight,4,26-02-1990,15-7-0 (1 NC),668,298,322,0,0,3,0,0,3,2,91,29,73,76,3,2,0,2,0,1,2,0,0,854,624,3,0,0,5,"04-10-2025:009341ed974bad72:L,21-06-2025:5444c5a201d3ee5a:W,05-10-2024:e5549c82bfb5582d:L,09-12-2023:d4c9dcd330403612:W,12-08-2023:d0aaedcf7ccd0b45:W",img/khalil_rountree_jr.png,http://ufcstats.com/fighter-details/749f572d1d3161fb
Dominick Reyes (The Devastator),Light_Heavyweight,10,26-12-1989,15-5-0,223,154,42,0,0,4,0,0,3,1,236,4,76,77,3,1,0,3,0,0,1,0,0,279,101,4,0,0,4,"27-09-2025:9014c02eff8b3d62:L,12-04-2025:1091d4d957141094:W,07-12-2024:d4c9dcd330403612:W,08-06-2024:e4277e87a789d687:W",img/dominick_reyes.png,http://ufcstats.com/fighter-details/2e19380f34871c6a
Volkan Oezdemir (No Time),Light_Heavyweight,9,19-09-1989,21-8-0,331,172,123,3,1,0,1,0,4,0,92,0,74,75,3,1,0,2,1,0,0,0,1,340,269,0,0,0,4,"22-11-2025:a495f599e787614f:W,23-11-2024:9014c02eff8b3d62:L,22-06-2024:c21f26bbde777573:W,02-09-2023:ef5dcb10d2bd4b0f:W",img/volkan_oezdemir.png,http://ufcstats.com/fighter-details/0845c81e37d3bcb3
Bogdan Guskov (Hitman),Light_Heavyweight,8,12-09-1992,18-3-1,356,199,178,0,0,4,2,2,4,2,374,584,75,76,4,1,1,3,1,0,0,1,0,435,321,7,3,3,6,"06-12-2025:99df7d0a2a08a8a8:D,26-07-2025:1091d4d957141094:W,18-01-2025:07a74004d964c7f4:W,27-04-2024:a67f5afa8d6a1b80:W,10-02-2024:56f7d7ee06be4aab:W,02-09-2023:0845c81e37d3bcb3:L",img/bogdan_guskov.png,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f
Azamat Murzakanov (The Professional),Light_Heavyweight,6,12-04-1989,16-0-0,256,142,96,6,1,7,0,0,4,0,89,273,70,71,4,0,0,3,0,1,0,0,0,448,241,8,1,0,4,"25-10-2025:333b9e5c723ac873:W,07-06-2025:49edd0d90f60fb7d:W,03-08-2024:a495f599e787614f:W,15-04-2023:e4277e87a789d687:W",img/azamat_murzakanov.png,http://ufcstats.com/fighter-details/e90a2f22417af68e
Nikita Krylov (The Miner),Light_Heavyweight,13,07-03-1992,31-11-0,193,92,71,4,1,0,0,0,1,2,157,75,75,77,1,2,0,1,0,0,2,0,0,433,168,0,0,0,3,"24-01-2026:476fe566d2df676e:W,26-07-2025:ef5dcb10d2bd4b0f:L,12-04-2025:2e19380f34871c6a:L",img/nikita_krylov.png,http://ufcstats.com/fighter-details/1091d4d957141094
Khamzat Chimaev (Borz),Middleweight,0,01-05-1994,15-0-0,121,78,51,33,18,1,2,1,0,0,1936,53,74,75,3,0,0,0,1,2,0,0,0,871,97,2,1,1,3,"16-08-2025:0d7b51c9d2649a6e:W,26-10-2024:e1147d3d2dabe1ce:W,21-10-2023:f1b2aa7853d1ed6e:W",img/khamzat_chimaev.png,http://ufcstats.com/fighter-details/767755fd74662dbf
Dricus Du Plessis (Stillknocks),Middleweight,1,14-01-1994,23-3-0,998,449,466,24,13,6,3,0,1,0,462,1332,73,76,4,1,0,1,1,2,0,0,1,1212,991,19,13,0,5,"16-08-2025:767755fd74662dbf:L,08-02-2025:0d8011111be000b2:W,17-08-2024:1338e2c7480bdf9e:W,20-01-2024:0d8011111be000b2:W,08-07-2023:e1147d3d2dabe1ce:W",img/dricus_du_plessis.png,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e
Sean Strickland,Middleweight,3,27-02-1991,30-7-0,1761,811,638,0,0,8,0,0,3,0,43,188,73,76,4,2,0,2,0,2,0,0,2,1217,1428,16,8,0,6,"21-02-2026:093e1f5bb73850be:W,08-02-2025:0d7b51c9d2649a6e:L,01-06-2024:2e5c2aa8e4ab9d82:W,20-01-2024:0d7b51c9d2649a6e:L,09-09-2023:1338e2c7480bdf9e:W,01-07-2023:36b8f265bcd1b7a4:W",img/sean_strickland.png,http://ufcstats.com/fighter-details/0d8011111be000b2
Robert Whittaker (The Reaper),Middleweight,9,20-12-1990,27-9-0,410,208,204,2,1,15,0,0,2,1,62,803,72,73,2,3,0,1,0,1,1,1,1,633,419,20,5,1,5,"26-07-2025:d549cefc7c54ab78:L,26-10-2024:767755fd74662dbf:L,22-06-2024:b07aed698fba8624:W,17-02-2024:2e5c2aa8e4ab9d82:W,08-07-2023:0d7b51c9d2649a6e:L",img/robert_whittaker.png,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce
Paulo Costa (The Eraser),Light_Heavyweight,,21-04-1991,15-4-0,576,324,325,2,0,1,0,0,1,0,13,1,73,72,1,2,0,0,0,1,0,0,2,1100,681,1,0,0,3,"19-07-2025:9d83f6da776ff7d6:W,01-06-2024:0d8011111be000b2:L,17-02-2024:e1147d3d2dabe1ce:L",img/paulo_costa.png,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82
Marvin Vettori (The Italian Dream),Middleweight,,20-09-1993,19-10-1,1178,567,641,5,2,11,0,0,0,0,173,308,72,74,1,4,0,0,0,1,0,0,4,1140,1314,19,8,0,5,"06-12-2025:1e719d4b676dc19a:L,19-07-2025:2f181c0467965b98:L,15-03-2025:327d5f279895110d:L,17-06-2023:13a0275fa13c4d26:L,18-03-2023:327d5f279895110d:W",img/marvin_vettori.png,http://ufcstats.com/fighter-details/7acbb0972e75281a
Caio Borralho (The Natural),Middleweight,5,16-01-1993,18-2-0 (1 NC),727,397,309,14,4,13,2,0,3,0,686,238,73,75,5,1,0,1,1,3,0,0,1,949,777,15,2,0,6,"07-03-2026:d549cefc7c54ab78:W,06-09-2025:881bf86d4cba8578:L,24-08-2024:13a0275fa13c4d26:W,04-05-2024:eabf206b162b3b83:W,04-11-2023:36b8f265bcd1b7a4:W,29-04-2023:0d65c432720accb9:W",img/caio_borralho.png,http://ufcstats.com/fighter-details/4126a78111c0855a
Jared Cannonier (The Killa Gorilla),Middleweight,10,16-03-1984,18-9-0,1032,506,510,17,8,6,0,1,2,3,1188,235,71,77,2,3,0,1,0,1,1,0,2,1163,966,9,3,1,5,"16-08-2025:a67d071163962af8:L,15-02-2025:d1c65d2cf2925ddd:W,24-08-2024:4126a78111c0855a:L,08-06-2024:881bf86d4cba8578:L,17-06-2023:7acbb0972e75281a:W",img/jared_cannonier.png,http://ufcstats.com/fighter-details/13a0275fa13c4d26
Brendan Allen (All In),Middleweight,6,28-12-1995,26-7-0,660,351,355,33,13,10,5,2,1,0,2322,1585,74,75,5,2,0,1,2,2,0,0,2,902,687,17,7,2,7,"18-10-2025:d549cefc7c54ab78:W,19-07-2025:7acbb0972e75281a:W,22-02-2025:093e1f5bb73850be:L,28-09-2024:881bf86d4cba8578:L,06-04-2024:5442f1bc4b47eaf3:W,18-11-2023:eabf206b162b3b83:W,24-06-2023:12ebd7d157e91701:W",img/brendan_allen.png,http://ufcstats.com/fighter-details/2f181c0467965b98
Chris Curtis (Action-Man),Welterweight,,15-07-1987,32-12-0 (1 NC),1208,578,583,1,0,21,0,1,0,1,99,1453,70,75,2,4,0,0,0,2,1,0,3,926,1250,50,29,1,7,"14-03-2026:bf2c8e01b07d3eb1:L,12-07-2025:b0d6a1d8ac3d563d:W,11-01-2025:9d83f6da776ff7d6:L,06-04-2024:2f181c0467965b98:L,20-01-2024:8e9eb3fc86db0f7d:W,10-06-2023:881bf86d4cba8578:NC,08-04-2023:8c0580d4fff106c1:L",img/chris_curtis.png,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
Roman Dolidze,Middleweight,11,15-07-1988,15-4-0,1007,401,489,11,2,2,0,1,0,1,1068,700,74,76,3,3,0,1,0,2,0,1,2,1027,900,11,9,2,6,"09-08-2025:093e1f5bb73850be:L,15-03-2025:7acbb0972e75281a:W,05-10-2024:3a46b268013afede:W,29-06-2024:d4c9dcd330403612:W,03-02-2024:881bf86d4cba8578:L,18-03-2023:7acbb0972e75281a:L",img/roman_dolidze.png,http://ufcstats.com/fighter-details/327d5f279895110d
Gerald Meerschaert (GM3),Middleweight,,18-12-1987,37-21-0,386,189,247,29,5,11,3,0,0,4,895,535,73,77,2,6,0,0,2,0,2,2,2,505,543,18,7,2,8,"15-11-2025:d6c0cdd7e467c440:L,16-08-2025:0d65c432720accb9:L,05-04-2025:0c6d9ea8306c029e:L,09-11-2024:d549cefc7c54ab78:L,24-08-2024:4144798612ef96e5:W,16-03-2024:a331233f597090a5:W,19-08-2023:5f61780fe5e9b6d0:L,08-04-2023:c1085e1701b13eca:L",img/gerald_meerschaert.png,http://ufcstats.com/fighter-details/6ac9bc2953c47345
Joe Pyfer (Bodybagz),Middleweight,14,17-09-1996,15-3-0,470,203,186,16,4,2,4,2,4,0,301,379,74,75,5,1,0,2,2,1,0,0,1,585,400,4,2,2,6,"04-10-2025:36b8f265bcd1b7a4:W,07-06-2025:8c0580d4fff106c1:W,29-06-2024:8e9eb3fc86db0f7d:W,10-02-2024:0a1942069c9ad6b6:L,07-10-2023:eae431e70064e046:W,08-04-2023:6ac9bc2953c47345:W",img/joe_pyfer.png,http://ufcstats.com/fighter-details/c1085e1701b13eca
Anthony Hernandez (Fluffy),Middleweight,7,18-10-1993,15-3-0 (1 NC),693,425,249,78,32,3,7,3,0,1,2740,338,72,75,5,1,0,2,2,1,1,0,0,869,535,4,1,3,6,"21-02-2026:0d8011111be000b2:L,09-08-2025:327d5f279895110d:W,22-02-2025:2f181c0467965b98:W,19-10-2024:595db60957de51d3:W,17-02-2024:9d83f6da776ff7d6:W,20-05-2023:4144798612ef96e5:W",img/anthony_hernandez.png,http://ufcstats.com/fighter-details/093e1f5bb73850be
Ikram Aliskerov,Middleweight,,07-12-1992,17-2-0,286,186,137,7,5,1,0,0,3,1,401,22,72,76,4,1,0,3,0,1,1,0,0,312,233,1,0,0,5,"25-10-2025:285ae0b4a68221f4:W,26-04-2025:886264a0c9f4ea5e:W,22-06-2024:e1147d3d2dabe1ce:L,21-10-2023:d317a5e2b3f88c5f:W,06-05-2023:547afe1017e72dbe:W",img/ikram_aliskerov.png,http://ufcstats.com/fighter-details/b07aed698fba8624
Michel Pereira (Demolidor),Middleweight,,06-10-1993,32-14-0 (2 NC),400,185,312,3,2,24,3,1,1,1,159,1057,73,73,4,3,0,1,2,1,2,0,1,480,510,36,12,1,7,"21-02-2026:23dec7c47cb418f8:W,23-08-2025:d6c0cdd7e467c440:L,26-04-2025:36b8f265bcd1b7a4:L,19-10-2024:093e1f5bb73850be:L,04-05-2024:260bd4cef10b033f:W,09-03-2024:0d65c432720accb9:W,14-10-2023:5f61780fe5e9b6d0:W",img/michel_pereira.png,http://ufcstats.com/fighter-details/595db60957de51d3
Jack Della Maddalena,Welterweight,1,10-09-1996,18-3-0,853,451,348,7,1,29,0,0,1,0,135,2066,71,73,4,1,0,1,0,3,0,0,1,1124,913,46,17,0,5,"15-11-2025:275aca31f61ba28c:L,10-05-2025:b1b0729d27936f2f:W,09-03-2024:23024fdfc966410a:W,16-09-2023:3a46b268013afede:W,15-07-2023:f4d92416da98804b:W",img/jack_della_maddalena.png,http://ufcstats.com/fighter-details/6b453bc35a823c3f
Sean Brady,Welterweight,6,23-11-1992,18-2-0,356,209,112,30,17,6,4,0,0,1,1850,199,70,72,3,1,0,0,2,1,1,0,0,852,216,7,1,0,4,"15-11-2025:c32aeb1a59e6272d:L,22-03-2025:f1fac969a1d70b08:W,07-09-2024:23024fdfc966410a:W,02-12-2023:8c0580d4fff106c1:W",img/sean_brady.png,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
Shavkat Rakhmonov (Nomad),Welterweight,,23-10-1994,19-0-0,103,65,58,15,3,1,2,2,0,0,1166,152,73,77,2,0,0,0,1,1,0,0,0,1048,109,2,1,2,2,"07-12-2024:442c9011034ae1fd:W,16-12-2023:4a28cb716c19157a:W",img/shavkat_rakhmonov.png,http://ufcstats.com/fighter-details/01afe0916a40c7c5
Leon Edwards (Rocky),Welterweight,8,25-08-1991,22-6-0 (1 NC),392,259,277,10,6,25,2,0,0,1,713,2000,74,74,2,3,0,0,0,2,1,1,1,1177,577,45,20,1,5,"15-11-2025:7ee0fd831c0fe7c3:L,22-03-2025:45f7cb591c3ab00b:L,27-07-2024:b1b0729d27936f2f:L,16-12-2023:dc9572dd6ec74859:W,18-03-2023:f1b2aa7853d1ed6e:W",img/leon_edwards.png,http://ufcstats.com/fighter-details/f1fac969a1d70b08
Kamaru Usman (The Nigerian Nightmare),Welterweight,7,11-05-1987,21-4-0,370,164,202,29,8,9,0,1,0,0,1080,436,72,76,1,2,0,0,0,1,0,0,2,1300,379,13,4,1,3,"14-06-2025:b9437600497350f3:W,21-10-2023:767755fd74662dbf:L,18-03-2023:f1fac969a1d70b08:L",img/kamaru_usman.png,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e
Ian Machado Garry (The Future),Welterweight,2,17-11-1997,17-1-0,837,440,257,30,9,17,4,0,1,0,1003,1429,75,74,6,1,0,1,0,5,0,0,1,968,553,19,2,0,7,"22-11-2025:b1b0729d27936f2f:W,26-04-2025:7ee0fd831c0fe7c3:W,07-12-2024:01afe0916a40c7c5:L,29-06-2024:a67d071163962af8:W,17-02-2024:b997be68943010fc:W,19-08-2023:84b3e7d38f2d2ec5:W,13-05-2023:8a1f3b5c526cd6e6:W",img/ian_machado_garry.png,http://ufcstats.com/fighter-details/442c9011034ae1fd
Michael Morales,Welterweight,3,24-06-1999,19-0-0,520,247,111,2,1,13,0,0,4,0,122,288,72,79,5,0,0,3,0,2,0,0,0,501,302,14,1,0,5,"15-11-2025:45f7cb591c3ab00b:W,17-05-2025:23024fdfc966410a:W,24-08-2024:84b3e7d38f2d2ec5:W,18-11-2023:a845f0735bc67405:W,01-07-2023:b0d6a1d8ac3d563d:W",img/michael_morales.png,http://ufcstats.com/fighter-details/c32aeb1a59e6272d
Joaquin Buckley (New Mansa),Welterweight,9,27-04-1994,21-7-0,944,388,241,19,12,20,1,0,3,0,874,1063,70,76,6,1,0,4,0,2,0,0,1,853,656,26,6,0,7,"14-06-2025:f1b2aa7853d1ed6e:L,14-12-2024:dc9572dd6ec74859:W,05-10-2024:4a28cb716c19157a:W,11-05-2024:49d2a08964c5eb11:W,30-03-2024:6d4b63c767106d3a:W,07-10-2023:cdb96af67d096b1e:W,20-05-2023:33efaf2d0941cfcf:W",img/joaquin_buckley.png,http://ufcstats.com/fighter-details/b9437600497350f3
