Tipo_Encuentro,Codigo_A,Apodo_A,Score_AT_A,Score_ANT_A,Score_PT_A,Score_PNT_A,Codigo_B,Apodo_B,Score_AT_B,Score_ANT_B,Score_PT_B,Score_PNT_B,Delta_BASE_ponderado,Dominante,Intensidad,Prediccion_Breve,Zona_Clave,Tactica_A,Tactica_B,Descripcion_Choque
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+PNT,La Bestia,0.0,0.6,0.0,0.4,0.04,A,Parejo,Combate equilibrado entre El Depredador y La Bestia.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,La Bestia presionará desde la zona de búsqueda con actividad y La Bestia se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y La Bestia, donde el depredador presionará desde la zona de búsqueda con actividad mientras la bestia presionará desde la zona de búsqueda con actividad y la bestia se mantendrá defensivo en zona retrasada."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+PT,El Castigador,0.0,0.6,0.4,0.0,0.08,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Castigador presionará desde la zona de búsqueda con actividad y El Castigador esperará en zona de control con precisión,"Choque entre El Depredador y El Castigador, donde el depredador presionará desde la zona de búsqueda con actividad mientras el castigador presionará desde la zona de búsqueda con actividad y el castigador esperará en zona de control con precisión."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+ANT,El Feral,0.0,0.4,0.0,0.6,0.06,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Feral se mantendrá defensivo en zona retrasada y El Feral presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Feral, donde el depredador presionará desde la zona de búsqueda con actividad mientras el feral se mantendrá defensivo en zona retrasada y el feral presionará desde la zona de búsqueda con actividad."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+ANT,El Demoledor Silencioso,0.0,0.4,0.6,0.0,0.12,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Demoledor Silencioso esperará en zona de control con precisión y El Demoledor Silencioso presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Demoledor Silencioso, donde el depredador presionará desde la zona de búsqueda con actividad mientras el demoledor silencioso esperará en zona de control con precisión y el demoledor silencioso presionará desde la zona de búsqueda con actividad."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+PT,El Ancla,0.0,0.0,0.4,0.6,0.14,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Ancla se mantendrá defensivo en zona retrasada y El Ancla esperará en zona de control con precisión,"Choque entre El Depredador y El Ancla, donde el depredador presionará desde la zona de búsqueda con actividad mientras el ancla se mantendrá defensivo en zona retrasada y el ancla esperará en zona de control con precisión."
Basico vs Dual,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+PNT,La Muralla,0.0,0.0,0.6,0.4,0.16,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,La Muralla esperará en zona de control con precisión y La Muralla se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y La Muralla, donde el depredador presionará desde la zona de búsqueda con actividad mientras la muralla esperará en zona de control con precisión y la muralla se mantendrá defensivo en zona retrasada."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+AT+PNT,El Coloso del Centro,0.3,0.5,0.0,0.2,0.035,A,Parejo,Combate equilibrado entre El Depredador y El Coloso del Centro.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de decisión, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,El Coloso del Centro presionará desde la zona de búsqueda con actividad y El Coloso del Centro buscará imponer técnica en zona de decisión y El Coloso del Centro se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Coloso del Centro, donde el depredador presionará desde la zona de búsqueda con actividad mientras el coloso del centro presionará desde la zona de búsqueda con actividad y el coloso del centro buscará imponer técnica en zona de decisión y el coloso del centro se mantendrá defensivo en zona retrasada."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+AT+PT,El Estratega Salvaje,0.3,0.5,0.2,0.0,0.055,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de decisión, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Estratega Salvaje presionará desde la zona de búsqueda con actividad y El Estratega Salvaje buscará imponer técnica en zona de decisión y El Estratega Salvaje esperará en zona de control con precisión,"Choque entre El Depredador y El Estratega Salvaje, donde el depredador presionará desde la zona de búsqueda con actividad mientras el estratega salvaje presionará desde la zona de búsqueda con actividad y el estratega salvaje buscará imponer técnica en zona de decisión y el estratega salvaje esperará en zona de control con precisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+PNT+AT,,0.2,0.5,0.0,0.3,0.04,A,Parejo,Combate equilibrado entre El Depredador y nan.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de acción, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,nan presionará desde la zona de búsqueda con actividad y nan se mantendrá defensivo en zona retrasada y nan buscará imponer técnica en zona de decisión,"Choque entre El Depredador y nan, donde el depredador presionará desde la zona de búsqueda con actividad mientras nan presionará desde la zona de búsqueda con actividad y nan se mantendrá defensivo en zona retrasada y nan buscará imponer técnica en zona de decisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+PT+AT,El Incursor,0.2,0.5,0.3,0.0,0.07,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de control, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Incursor presionará desde la zona de búsqueda con actividad y El Incursor esperará en zona de control con precisión y El Incursor buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Incursor, donde el depredador presionará desde la zona de búsqueda con actividad mientras el incursor presionará desde la zona de búsqueda con actividad y el incursor esperará en zona de control con precisión y el incursor buscará imponer técnica en zona de decisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+ANT+PNT,El Inquebrantable,0.5,0.3,0.0,0.2,0.045,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de búsqueda, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,El Inquebrantable buscará imponer técnica en zona de decisión y El Inquebrantable presionará desde la zona de búsqueda con actividad y El Inquebrantable se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Inquebrantable, donde el depredador presionará desde la zona de búsqueda con actividad mientras el inquebrantable buscará imponer técnica en zona de decisión y el inquebrantable presionará desde la zona de búsqueda con actividad y el inquebrantable se mantendrá defensivo en zona retrasada."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+ANT+PT,El Arquitecto del Caos,0.5,0.3,0.2,0.0,0.065,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de búsqueda, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Arquitecto del Caos buscará imponer técnica en zona de decisión y El Arquitecto del Caos presionará desde la zona de búsqueda con actividad y El Arquitecto del Caos esperará en zona de control con precisión,"Choque entre El Depredador y El Arquitecto del Caos, donde el depredador presionará desde la zona de búsqueda con actividad mientras el arquitecto del caos buscará imponer técnica en zona de decisión y el arquitecto del caos presionará desde la zona de búsqueda con actividad y el arquitecto del caos esperará en zona de control con precisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+PNT+ANT,El León Técnico,0.5,0.2,0.0,0.3,0.055,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de acción, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El León Técnico buscará imponer técnica en zona de decisión y El León Técnico se mantendrá defensivo en zona retrasada y El León Técnico presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El León Técnico, donde el depredador presionará desde la zona de búsqueda con actividad mientras el león técnico buscará imponer técnica en zona de decisión y el león técnico se mantendrá defensivo en zona retrasada y el león técnico presionará desde la zona de búsqueda con actividad."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+PNT+PT,El Guerrero del Muro,0.5,0.0,0.2,0.3,0.095,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de acción, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Guerrero del Muro buscará imponer técnica en zona de decisión y El Guerrero del Muro se mantendrá defensivo en zona retrasada y El Guerrero del Muro esperará en zona de control con precisión,"Choque entre El Depredador y El Guerrero del Muro, donde el depredador presionará desde la zona de búsqueda con actividad mientras el guerrero del muro buscará imponer técnica en zona de decisión y el guerrero del muro se mantendrá defensivo en zona retrasada y el guerrero del muro esperará en zona de control con precisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+PT+ANT,El Alquimista del Ritmo,0.5,0.2,0.3,0.0,0.085,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de control, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Alquimista del Ritmo buscará imponer técnica en zona de decisión y El Alquimista del Ritmo esperará en zona de control con precisión y El Alquimista del Ritmo presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Alquimista del Ritmo, donde el depredador presionará desde la zona de búsqueda con actividad mientras el alquimista del ritmo buscará imponer técnica en zona de decisión y el alquimista del ritmo esperará en zona de control con precisión y el alquimista del ritmo presionará desde la zona de búsqueda con actividad."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,AT+PT+PNT,El Sabio de Hierro,0.5,0.0,0.3,0.2,0.105,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de decisión, Zona de control, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,El Sabio de Hierro buscará imponer técnica en zona de decisión y El Sabio de Hierro esperará en zona de control con precisión y El Sabio de Hierro se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Sabio de Hierro, donde el depredador presionará desde la zona de búsqueda con actividad mientras el sabio de hierro buscará imponer técnica en zona de decisión y el sabio de hierro esperará en zona de control con precisión y el sabio de hierro se mantendrá defensivo en zona retrasada."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+ANT+AT,El Fénix del Caos,0.2,0.3,0.0,0.5,0.06,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de búsqueda, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Fénix del Caos se mantendrá defensivo en zona retrasada y El Fénix del Caos presionará desde la zona de búsqueda con actividad y El Fénix del Caos buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Fénix del Caos, donde el depredador presionará desde la zona de búsqueda con actividad mientras el fénix del caos se mantendrá defensivo en zona retrasada y el fénix del caos presionará desde la zona de búsqueda con actividad y el fénix del caos buscará imponer técnica en zona de decisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+AT+ANT,El Legionario,0.3,0.2,0.0,0.5,0.065,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de decisión, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Legionario se mantendrá defensivo en zona retrasada y El Legionario buscará imponer técnica en zona de decisión y El Legionario presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Legionario, donde el depredador presionará desde la zona de búsqueda con actividad mientras el legionario se mantendrá defensivo en zona retrasada y el legionario buscará imponer técnica en zona de decisión y el legionario presionará desde la zona de búsqueda con actividad."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+AT+PT,El Centinela de Acero,0.3,0.0,0.2,0.5,0.105,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de decisión, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Centinela de Acero se mantendrá defensivo en zona retrasada y El Centinela de Acero buscará imponer técnica en zona de decisión y El Centinela de Acero esperará en zona de control con precisión,"Choque entre El Depredador y El Centinela de Acero, donde el depredador presionará desde la zona de búsqueda con actividad mientras el centinela de acero se mantendrá defensivo en zona retrasada y el centinela de acero buscará imponer técnica en zona de decisión y el centinela de acero esperará en zona de control con precisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+PT+AT,El Bastión del Ritmo,0.2,0.0,0.3,0.5,0.12,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de control, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Bastión del Ritmo se mantendrá defensivo en zona retrasada y El Bastión del Ritmo esperará en zona de control con precisión y El Bastión del Ritmo buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Bastión del Ritmo, donde el depredador presionará desde la zona de búsqueda con actividad mientras el bastión del ritmo se mantendrá defensivo en zona retrasada y el bastión del ritmo esperará en zona de control con precisión y el bastión del ritmo buscará imponer técnica en zona de decisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+ANT+AT,El Constructor del Combate,0.2,0.3,0.5,0.0,0.11,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de búsqueda, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Constructor del Combate esperará en zona de control con precisión y El Constructor del Combate presionará desde la zona de búsqueda con actividad y El Constructor del Combate buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Constructor del Combate, donde el depredador presionará desde la zona de búsqueda con actividad mientras el constructor del combate esperará en zona de control con precisión y el constructor del combate presionará desde la zona de búsqueda con actividad y el constructor del combate buscará imponer técnica en zona de decisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+AT+ANT,El Estrangulador Táctico,0.3,0.2,0.5,0.0,0.115,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de decisión, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Estrangulador Táctico esperará en zona de control con precisión y El Estrangulador Táctico buscará imponer técnica en zona de decisión y El Estrangulador Táctico presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Estrangulador Táctico, donde el depredador presionará desde la zona de búsqueda con actividad mientras el estrangulador táctico esperará en zona de control con precisión y el estrangulador táctico buscará imponer técnica en zona de decisión y el estrangulador táctico presionará desde la zona de búsqueda con actividad."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+AT+PNT,El Táctico Blindado,0.3,0.0,0.5,0.2,0.135,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de decisión, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,El Táctico Blindado esperará en zona de control con precisión y El Táctico Blindado buscará imponer técnica en zona de decisión y El Táctico Blindado se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Táctico Blindado, donde el depredador presionará desde la zona de búsqueda con actividad mientras el táctico blindado esperará en zona de control con precisión y el táctico blindado buscará imponer técnica en zona de decisión y el táctico blindado se mantendrá defensivo en zona retrasada."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+PNT+AT,El Monje de la Jaula,0.2,0.0,0.5,0.3,0.14,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de acción, Zona de decisión",El Depredador presionará desde la zona de búsqueda con actividad,El Monje de la Jaula esperará en zona de control con precisión y El Monje de la Jaula se mantendrá defensivo en zona retrasada y El Monje de la Jaula buscará imponer técnica en zona de decisión,"Choque entre El Depredador y El Monje de la Jaula, donde el depredador presionará desde la zona de búsqueda con actividad mientras el monje de la jaula esperará en zona de control con precisión y el monje de la jaula se mantendrá defensivo en zona retrasada y el monje de la jaula buscará imponer técnica en zona de decisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+PNT+PT,El Ciclón Imparable,0.0,0.5,0.2,0.3,0.07,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de acción, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Ciclón Imparable presionará desde la zona de búsqueda con actividad y El Ciclón Imparable se mantendrá defensivo en zona retrasada y El Ciclón Imparable esperará en zona de control con precisión,"Choque entre El Depredador y El Ciclón Imparable, donde el depredador presionará desde la zona de búsqueda con actividad mientras el ciclón imparable presionará desde la zona de búsqueda con actividad y el ciclón imparable se mantendrá defensivo en zona retrasada y el ciclón imparable esperará en zona de control con precisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,ANT+PT+PNT,El Gladiador Salvaje,0.0,0.5,0.3,0.2,0.08,A,Ventaja ligera A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de búsqueda, Zona de control, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,El Gladiador Salvaje presionará desde la zona de búsqueda con actividad y El Gladiador Salvaje esperará en zona de control con precisión y El Gladiador Salvaje se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Gladiador Salvaje, donde el depredador presionará desde la zona de búsqueda con actividad mientras el gladiador salvaje presionará desde la zona de búsqueda con actividad y el gladiador salvaje esperará en zona de control con precisión y el gladiador salvaje se mantendrá defensivo en zona retrasada."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+ANT+PT,El Martillo de Hierro,0.0,0.3,0.2,0.5,0.09,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de búsqueda, Zona de control",El Depredador presionará desde la zona de búsqueda con actividad,El Martillo de Hierro se mantendrá defensivo en zona retrasada y El Martillo de Hierro presionará desde la zona de búsqueda con actividad y El Martillo de Hierro esperará en zona de control con precisión,"Choque entre El Depredador y El Martillo de Hierro, donde el depredador presionará desde la zona de búsqueda con actividad mientras el martillo de hierro se mantendrá defensivo en zona retrasada y el martillo de hierro presionará desde la zona de búsqueda con actividad y el martillo de hierro esperará en zona de control con precisión."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PNT+PT+ANT,El Coloso Salvaje,0.0,0.2,0.3,0.5,0.11,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de acción, Zona de control, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Coloso Salvaje se mantendrá defensivo en zona retrasada y El Coloso Salvaje esperará en zona de control con precisión y El Coloso Salvaje presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Coloso Salvaje, donde el depredador presionará desde la zona de búsqueda con actividad mientras el coloso salvaje se mantendrá defensivo en zona retrasada y el coloso salvaje esperará en zona de control con precisión y el coloso salvaje presionará desde la zona de búsqueda con actividad."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+ANT+PNT,El Bárbaro del Octágono,0.0,0.3,0.5,0.2,0.12,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de búsqueda, Zona de acción",El Depredador presionará desde la zona de búsqueda con actividad,El Bárbaro del Octágono esperará en zona de control con precisión y El Bárbaro del Octágono presionará desde la zona de búsqueda con actividad y El Bárbaro del Octágono se mantendrá defensivo en zona retrasada,"Choque entre El Depredador y El Bárbaro del Octágono, donde el depredador presionará desde la zona de búsqueda con actividad mientras el bárbaro del octágono esperará en zona de control con precisión y el bárbaro del octágono presionará desde la zona de búsqueda con actividad y el bárbaro del octágono se mantendrá defensivo en zona retrasada."
Basico vs Triple,ANT,El Depredador,0.0,1.0,0.0,0.0,PT+PNT+ANT,El Titán Silencioso,0.0,0.2,0.5,0.3,0.13,A,Ventaja amplia A,Ligera ventaja para El Depredador.,"Claves en Zona de búsqueda vs Zona de control, Zona de acción, Zona de búsqueda",El Depredador presionará desde la zona de búsqueda con actividad,El Titán Silencioso esperará en zona de control con precisión y El Titán Silencioso se mantendrá defensivo en zona retrasada y El Titán Silencioso presionará desde la zona de búsqueda con actividad,"Choque entre El Depredador y El Titán Silencioso, donde el depredador presionará desde la zona de búsqueda con actividad mientras el titán silencioso esperará en zona de control con precisión y el titán silencioso se mantendrá defensivo en zona retrasada y el titán silencioso presionará desde la zona de búsqueda con actividad."
Basico vs Basico,AT,El Estratega,1.0,0.0,0.0,0.0,ANT,El Depredador,0.0,1.0,0.0,0.0,-0.05,B,Ventaja ligera B,Ligera ventaja para El Depredador.,Claves en Zona de decisión vs Zona de búsqueda,El Estratega buscará imponer técnica en zona de decisión,El Depredador presionará desde la zona de búsqueda con actividad,"Choque entre El Estratega y El Depredador, donde el estratega buscará imponer técnica en zona de decisión mientras el depredador presionará desde la zona de búsqueda con actividad."
